m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2020	LMEL	2	60010	9	1	1	0.439		2	0.36			2	2	2																		2	2	0	1		4																1																										0.9215958013858707
4	2020	LMEL	2	60010	9	2	1	0.395		2	0.355			1	2	2																		2	2	0	1		4																1																										0.8645078819659483
4	2020	LMEL	2	60010	9	3	1	0.391		2	0.34			1	4	4																		3	2	1	1		4																1																										0.973184156356595
4	2020	LMEL	2	60010	9	4	1	0.323		2	0.32			2	3	3																		2	2	0	5		4																1																										0.9629713479688953
4	2020	LMEL	2	60010	9	5	1	0.32		2	0.325			1	2	2																		2	2	0	1		4																1																										0.9109951509970013
4	2020	LMEL	2	60010	9	6	1	0.265		2	0.305			1	4	4																		2	2	0	5		4																1																										0.911403125532346
4	2020	LMEL	2	60010	9	7	1	0.186		2	0.29			1	2	2																		2	2	0	1		4																1																										0.7432507103776006
4	2020	LMEL	2	60010	9	8	1	0.244		2	0.295			1	2	2																		3	2	1	6		4																1																										0.9266781354163021
4	2020	LMEL	2	60010	9	9	1	0.453		2	0.365			2	3	3																		4	2	2	1		4																1																										0.9126960516262593
4	2020	LMEL	2	60010	9	10	1	0.368		2	0.34			2	2	2																		2	2	0	1		4																1																										0.9159380295120895
4	2020	LMEL	2	60010	9	11	1			2	0.29																																																																						
4	2020	LMEL	2	60010	12	1	1	1.865		3	0.6			1	3	3																																																																	0.8421951036402359
4	2020	LMEL	2	60010	12	2	1	3.555		3	0.71			1	3	3																																																																	0.972571367211692
4	2020	LMEL	2	60010	12	3	1	1.84		3	0.59			1	3	3																																																																	0.8735080784661863
4	2020	LMEL	2	60010	12	4	1	2.215		3	0.6			2	3	3																																																																	1.0002478040552936
4	2020	LMEL	2	60010	12	5	1	3.71		3	0.69			1	3	3																																																																	1.105145592133508
4	2020	LMEL	2	60010	12	6	1	6.205		3	0.86			1	3	3																																																																	0.9587237000399984
4	2020	LMEL	2	60010	12	7	1	3.65		3	0.75			2	3	3																																																																	0.8481096594171686
4	2020	LMEL	2	60010	12	8	1	1.098		3	0.5			1	1	1																																																																	0.8525663859396428
4	2020	LMEL	2	60010	12	9	1	1.631		3	0.58			1	2	2																																																																	0.8146787020335124
4	2020	LMEL	2	60010	12	10	1	2.64		3	0.7			1	4	4																																																																	0.7534190133421518
4	2020	LMEL	2	60010	12	11	1	1.247		3	0.54			2	1	1																																																																	0.7703302397089177
4	2020	LMEL	2	60010	12	12	1	4.25		3	0.8			2	3	3																																																																	0.8147067019929883
4	2020	LMEL	2	60010	12	13	1	5.52		3	0.83			1	2	2																																																																	0.9481556804638062
4	2020	LMEL	2	60010	12	14	1	4.1		3	0.78			2	3	3																																																																	0.847568653706963
4	2020	LMEL	2	60010	12	15	1	14.43		3	1.09			2	3	3																																																																	1.0990665075190944
4	2020	LMEL	2	60010	12	16	1			3	0.7																																																																						
4	2020	LMEL	2	60010	13	1	1	0.03		2	0.16			1	2	2																		2			1		4																1																										0.6991351843422849
4	2020	LMEL	2	60010	13	2	1	0.008		2	0.105			1	1	1																		1			1		4																1																										0.6439684556076823
4	2020	LMEL	2	60010	13	3	1	0.022		2	0.145			1	2	2																		2			1		4																1																										0.6855618149859528
4	2020	LMEL	2	60010	13	4	1	0.03		2	0.175			1	2	2																		2			1		4																1																										0.5364462114883309
4	2020	LMEL	2	60010	13	5	1	0.023		2	0.165			1	2	2																		2			1		4																1																										0.4894219036251135
4	2020	LMEL	2	60010	13	6	1	0.024		2	0.155			1	2	2																		2			1		4																1																										0.6142845145112719
4	2020	LMEL	2	60010	13	7	1	0.038		2	0.17			1	2	2																		2			1		4																1																										0.7403145728123126
4	2020	LMEL	2	60010	13	8	1	0.024		2	0.155			1	2	2																		2			1		4																1																										0.6142845145112719
4	2020	LMEL	2	60010	13	9	1	0.041		2	0.185			1	2	2																		4			6		4																1																										0.6219851851851852
